,AD_kcal,affinity_moles,affinity_type,affinity_value,data_type,gauss1,gauss2,hydrogen,hydrophobic,kcal,name,repulsion,series
0,-5.02214,0.0013,uM,1300.0,Ki,40.83123,517.24284,1.47228,20.17162,-3.9613175837521806,4llx,0.62131,core-2016
0,-5.73501,2.2e-06,uM,2.2,Ki,55.46978,664.15733,0.42946,38.23726,-7.765426411089362,5c28,0.89685,core-2016
0,-7.91396,1.1000000000000001e-08,nM,11.0,Ki,62.28937,1038.44519,1.38427,38.05815,-10.923753393288647,3uuo,1.04448,core-2016
0,-7.94233,1e-09,nM,1.0,Ki,79.73308,1168.08992,1.26203,51.85697,-12.353138765403754,3ui7,2.48645,core-2016
0,-9.61648,8.2e-12,pM,8.2,Ki,135.32137,1718.69362,1.17303,59.21605,-15.216577317844536,5c2h,2.77261,core-2016
0,-6.73016,2.2000000000000003e-05,mM,0.22,Kd,70.37849,903.83977,3.37573,40.36907,-6.392855437155611,2v00,2.92393,core-2016
0,-9.00398,1.5e-06,uM,1.5,Ki,112.47909,1574.98164,3.04891,59.87691,-7.993728092659227,3wz8,2.70357,core-2016
0,-10.91173,4.8000000000000006e-08,nM,48.0,Ki,132.35841,2282.56563,6.905,87.99046,-10.045515842801562,3pww,4.87645,core-2016
0,-8.64278,1.5000000000000002e-08,nM,15.0,Ki,135.26936,2331.75896,6.27667,62.58586,-10.738870040526727,3prs,5.62886,core-2016
0,-7.14199,1e-09,nM,1.0,Ki,130.28238,2532.12744,5.25053,44.94253,-12.353138765403754,3uri,3.94283,core-2016
0,-10.60176,6.4e-06,uM,6.4,Kd,123.30066,1536.51862,5.56695,49.01426,-7.128886611545553,4m0z,5.02385,core-2016
0,-7.24773,3.5e-07,uM,0.35,Kd,79.31247,1065.31614,3.47783,17.83446,-8.861224812016165,4m0y,2.93595,core-2016
0,-8.303,1.6e-08,nM,16.0,Ki,83.41665,1406.68795,1.92247,50.10761,-10.700398628076622,3qgy,3.10916,core-2016
